X	1: P1	X	2: P2	X	3: P3	X	4: P4	X	5: P5	X	6: P6	X	7: P7	X	8: P8	X	9: P9	X	10: P10	X	11: P11	X	12: P12	X	13: P13	X	14: P14	X	15: P15	X	16: P16	X	17: P17	X	18: P18	X	19: P19	X	20: P20	X	21: P21	X	22: P22	X	23: P23	X	24: P24	X	25: P25	X	26: P26	X	27: P27	X	28: P28	X	29: Het (GR)	X	30: Hom (Coriell)	X	31: WT (KO)	X	32: Blank
70.03	67.4420013427734	70.026	68.1230010986328	70.027	67.8359985351562	70.028	70.129997253418	70.028	68.6910018920898	70.029	70.9899978637695	70.026	72.7279968261719	70.028	70.9020004272461	70.027	71.306999206543	70.016	67.5820007324219	70.029	69.1289978027344	70.029	67.2070007324219	70.013	64.2419967651367	70.028	67.9690017700195	70.029	69.1370010375977	70.031	66.6569976806641	70.029	65.4860000610352	70.028	69.0210037231445	70.027	66.5350036621094	70.029	66.6660003662109	70.03	69.1869964599609	70.016	73.6900024414062	70.031	69.8779983520508	70.031	70.9290008544922	70.03	69.8119964599609	70.017	58.7719993591309	70.031	64.6800003051758	70.03	69.1809997558594	70.017	67.7009963989258	70.03	71.7160034179688	70.031	65.1510009765625	70.013	7.51399993896484
70.045	67.4059982299805	70.04	68.0800018310547	70.043	67.7959976196289	70.043	70.0899963378906	70.044	68.6549987792969	70.045	70.9359970092773	70.042	72.6750030517578	70.044	70.8619995117187	70.043	71.2699966430664	70.032	67.5289993286133	70.044	69.0910034179688	70.045	67.1689987182617	70.029	64.2030029296875	70.044	67.927001953125	70.045	69.0869979858398	70.046	66.6149978637695	70.044	65.4400024414062	70.043	68.9779968261719	70.043	66.4919967651367	70.044	66.6220016479492	70.044	69.1529998779297	70.033	73.6289978027344	70.046	69.8430023193359	70.046	70.8669967651367	70.044	69.7630004882813	70.032	58.7330017089844	70.046	64.6429977416992	70.045	69.140998840332	70.031	67.6620025634766	70.046	71.6809997558594	70.047	65.1080017089844	70.028	7.50799989700317
70.06	67.3659973144531	70.056	68.0309982299805	70.056	67.765998840332	70.058	70.052001953125	70.059	68.6070022583008	70.06	70.9020004272461	70.056	72.629997253418	70.061	70.8190002441406	70.058	71.2300033569336	70.045	67.4899978637695	70.057	69.0510025024414	70.06	67.120002746582	70.045	64.1750030517578	70.06	67.879997253418	70.059	69.0619964599609	70.062	66.5869979858398	70.06	65.3919982910156	70.058	68.9240036010742	70.06	66.4619979858398	70.06	66.5739974975586	70.058	69.1029968261719	70.049	73.5999984741211	70.061	69.7850036621094	70.061	70.8339996337891	70.06	69.713996887207	70.046	58.6829986572266	70.062	64.5960006713867	70.061	69.0930023193359	70.047	67.6240005493164	70.062	71.625	70.062	65.0619964599609	70.044	7.50500011444092
70.074	67.3330001831055	70.071	67.9869995117187	70.071	67.7099990844727	70.074	70.0039978027344	70.073	68.5739974975586	70.073	70.8619995117187	70.072	72.5859985351562	70.076	70.7669982910156	70.073	71.1849975585938	70.06	67.4550018310547	70.071	69.0100021362305	70.076	67.0709991455078	70.06	64.1350021362305	70.075	67.8290023803711	70.075	69.0100021362305	70.077	66.5419998168945	70.074	65.3659973144531	70.074	68.9000015258789	70.075	66.4130020141602	70.075	66.536003112793	70.074	69.0619964599609	70.064	73.5579986572266	70.077	69.7480010986328	70.076	70.7929992675781	70.075	69.6790008544922	70.06	58.6479988098145	70.076	64.5640029907227	70.074	69.056999206543	70.062	67.5770034790039	70.077	71.5879974365234	70.078	65.0179977416992	70.059	7.50299978256226
70.089	67.2910003662109	70.088	67.9560012817383	70.086	67.6600036621094	70.091	69.9609985351562	70.089	68.5220031738281	70.088	70.8140029907227	70.087	72.5459976196289	70.087	70.7229995727539	70.089	71.1320037841797	70.076	67.4140014648438	70.087	68.9540023803711	70.092	67.0319976806641	70.075	64.0940017700195	70.09	67.7919998168945	70.091	68.9739990234375	70.092	66.4919967651367	70.09	65.3239974975586	70.089	68.8470001220703	70.089	66.3809967041016	70.089	66.4820022583008	70.09	69.0139999389648	70.079	73.4980010986328	70.093	69.7180023193359	70.091	70.7399978637695	70.09	69.6220016479492	70.075	58.617000579834	70.092	64.5220031738281	70.09	69.004997253418	70.078	67.5490036010742	70.091	71.5410003662109	70.093	64.9759979248047	70.075	7.49100017547607
70.103	67.2419967651367	70.103	67.9120025634766	70.102	67.6320037841797	70.104	69.9189987182617	70.104	68.4779968261719	70.104	70.7669982910156	70.104	72.5019989013672	70.104	70.6839981079102	70.103	71.0940017700195	70.091	67.3679962158203	70.101	68.9209976196289	70.106	66.9869995117187	70.09	64.0589981079102	70.105	67.75	70.106	68.927001953125	70.107	66.4410018920898	70.105	65.2819976806641	70.105	68.8199996948242	70.105	66.3379974365234	70.104	66.4589996337891	70.106	68.9690017700195	70.095	73.4599990844727	70.106	69.6790008544922	70.106	70.6949996948242	70.105	69.568000793457	70.091	58.5800018310547	70.106	64.4830017089844	70.105	68.9720001220703	70.093	67.5009994506836	70.105	71.4929962158203	70.108	64.9459991455078	70.091	7.48699998855591
70.116	67.2089996337891	70.117	67.8690032958984	70.118	67.5940017700195	70.12	69.8820037841797	70.118	68.4380035400391	70.12	70.7239990234375	70.116	72.4550018310547	70.12	70.6449966430664	70.118	71.0439987182617	70.107	67.3239974975586	70.117	68.8870010375977	70.121	66.9540023803711	70.104	64.015998840332	70.121	67.7080001831055	70.121	68.8840026855469	70.121	66.4020004272461	70.12	65.2399978637695	70.121	68.7710037231445	70.12	66.2900009155273	70.12	66.4260025024414	70.121	68.9300003051758	70.11	73.4209976196289	70.121	69.6259994506836	70.122	70.6480026245117	70.122	69.5319976806641	70.106	58.5359992980957	70.122	64.4359970092773	70.121	68.9189987182617	70.109	67.4550018310547	70.121	71.4499969482422	70.123	64.9130020141602	70.107	7.48000001907349
70.132	67.1660003662109	70.132	67.8089981079102	70.133	67.5350036621094	70.135	69.818000793457	70.134	68.4079971313477	70.135	70.6800003051758	70.132	72.4100036621094	70.136	70.5960006713867	70.134	71.004997253418	70.122	67.2850036621094	70.132	68.8379974365234	70.137	66.911003112793	70.119	63.9749984741211	70.137	67.6640014648438	70.135	68.8509979248047	70.136	66.359001159668	70.134	65.1890029907227	70.134	68.7350006103516	70.135	66.254997253418	70.135	66.370002746582	70.136	68.8899993896484	70.124	73.3639984130859	70.137	69.5749969482422	70.138	70.6119995117187	70.137	69.4889984130859	70.122	58.5040016174316	70.137	64.4000015258789	70.135	68.8820037841797	70.124	67.4179992675781	70.137	71.4039993286133	70.138	64.8710021972656	70.122	7.47300004959106
70.148	67.1279983520508	70.147	67.7779998779297	70.148	67.5	70.15	69.7760009765625	70.15	68.3610000610352	70.151	70.6360015869141	70.147	72.3550033569336	70.151	70.5550003051758	70.149	70.9570007324219	70.137	67.2419967651367	70.149	68.8050003051758	70.153	66.8690032958984	70.135	63.9249992370605	70.153	67.6320037841797	70.151	68.8040008544922	70.15	66.3119964599609	70.15	65.1520004272461	70.148	68.6839981079102	70.15	66.2119979858398	70.151	66.3359985351562	70.151	68.8570022583008	70.138	73.3130035400391	70.152	69.5469970703125	70.151	70.5619964599609	70.152	69.4469985961914	70.138	58.4739990234375	70.152	64.3489990234375	70.151	68.8369979858398	70.14	67.375	70.152	71.3479995727539	70.153	64.8190002441406	70.138	7.46999979019165
70.163	67.088996887207	70.163	67.7330017089844	70.163	67.4520034790039	70.166	69.7289962768555	70.164	68.3099975585938	70.166	70.5849990844727	70.163	72.3030014038086	70.166	70.5130004882813	70.165	70.911003112793	70.152	67.1999969482422	70.165	68.7620010375977	70.168	66.8190002441406	70.151	63.882999420166	70.167	67.5960006713867	70.166	68.7620010375977	70.166	66.2679977416992	70.166	65.1279983520508	70.163	68.6470031738281	70.166	66.1669998168945	70.166	66.2850036621094	70.167	68.7929992675781	70.154	73.2610015869141	70.168	69.5019989013672	70.167	70.5189971923828	70.168	69.4069976806641	70.152	58.4410018920898	70.168	64.3079986572266	70.167	68.7880020141602	70.154	67.3199996948242	70.167	71.302001953125	70.169	64.7819976806641	70.153	7.46600008010864
